Timestamp,Open,High,Low,Close,Volume
2024-03-22 08:14:00,584.31,584.42,584.29,584.42,0.088
2024-03-22 08:15:00,584.22,584.22,584.22,584.22,0.031
2024-03-22 08:16:00,584.22,584.22,584.22,584.22,0.0
2024-03-22 08:17:00,584.62,584.62,584.03,584.03,6.225
2024-03-22 08:18:00,583.29,583.29,582.88,582.88,1.77
2024-03-22 08:19:00,582.52,582.52,582.52,582.52,0.028
2024-03-22 08:20:00,582.57,582.75,582.57,582.75,0.057
2024-03-22 08:21:00,582.69,582.69,582.69,582.69,0.052
2024-03-22 08:22:00,583.37,583.37,583.37,583.37,0.026
2024-03-22 08:23:00,584.07,584.16,583.81,583.83,4.922
2024-03-22 08:24:00,583.3,583.3,583.3,583.3,0.03
2024-03-22 08:25:00,583.19,583.19,583.19,583.19,0.028
2024-03-22 08:26:00,583.19,583.19,583.19,583.19,0.0
2024-03-22 08:27:00,584.16,584.16,584.16,584.16,1.0
2024-03-22 08:28:00,584.69,584.71,584.52,584.52,28.897
2024-03-22 08:29:00,584.11,584.11,584.11,584.11,0.033
2024-03-22 08:30:00,584.34,584.43,584.34,584.43,0.059
2024-03-22 08:31:00,584.24,584.24,584.24,584.24,0.293
2024-03-22 08:32:00,583.44,583.47,583.44,583.47,9.208
2024-03-22 08:33:00,583.01,583.29,583.01,583.29,0.061
2024-03-22 08:34:00,583.7,583.82,583.7,583.82,1.05
2024-03-22 08:35:00,583.92,583.92,583.12,583.19,16.955
2024-03-22 08:36:00,583.19,583.19,583.19,583.19,0.0
2024-03-22 08:37:00,582.69,582.69,582.11,582.11,15.336
2024-03-22 08:38:00,581.92,582.27,581.92,582.27,1.251
2024-03-22 08:39:00,581.69,581.71,581.22,581.22,4.86
2024-03-22 08:40:00,580.95,580.97,579.61,579.67,14.566
2024-03-22 08:41:00,579.85,579.85,578.6,578.6,98.655
2024-03-22 08:42:00,577.97,577.97,576.58,576.93,145.318
2024-03-22 08:43:00,576.11,576.76,575.52,576.1,46.74
2024-03-22 08:44:00,576.46,576.88,576.46,576.6,55.212
2024-03-22 08:45:00,577.18,578.58,577.18,578.58,42.566
2024-03-22 08:46:00,578.82,578.94,578.67,578.67,13.966
2024-03-22 08:47:00,578.93,579.02,578.76,578.76,0.658
2024-03-22 08:48:00,579.01,579.27,579.01,579.22,59.71
2024-03-22 08:49:00,579.59,579.59,579.19,579.44,84.764
2024-03-22 08:50:00,579.66,579.66,579.66,579.66,0.088
2024-03-22 08:51:00,579.71,579.71,579.71,579.71,0.028
2024-03-22 08:52:00,579.97,580.19,579.97,580.19,6.596
2024-03-22 08:53:00,579.48,579.51,578.66,578.66,6.644
2024-03-22 08:54:00,578.64,578.64,577.42,577.42,5.657
2024-03-22 08:55:00,578.77,578.77,578.77,578.77,8.936
2024-03-22 08:56:00,578.62,578.82,578.62,578.82,1.561
2024-03-22 08:57:00,578.63,578.63,578.55,578.55,3.462
2024-03-22 08:58:00,578.29,578.29,578.05,578.05,6.101
2024-03-22 08:59:00,578.05,578.05,578.05,578.05,0.0
2024-03-22 09:00:00,579.01,580.02,579.01,580.02,1.061
2024-03-22 09:01:00,579.91,579.91,579.91,579.91,0.03
2024-03-22 09:02:00,579.91,579.91,579.91,579.91,0.0
2024-03-22 09:03:00,580.36,580.36,580.11,580.11,0.084
2024-03-22 09:04:00,580.11,580.11,580.11,580.11,0.0
2024-03-22 09:05:00,580.59,580.59,580.59,580.59,0.064
2024-03-22 09:06:00,580.66,581.4,580.66,581.4,1.535
2024-03-22 09:07:00,581.68,581.96,581.68,581.96,55.251
2024-03-22 09:08:00,581.21,581.28,581.21,581.28,0.078
2024-03-22 09:09:00,581.07,581.07,580.82,580.82,0.679
2024-03-22 09:10:00,581.44,581.44,581.44,581.44,0.175
2024-03-22 09:11:00,581.06,581.31,581.06,581.31,34.289
2024-03-22 09:12:00,582.02,582.02,582.02,582.02,1.236
2024-03-22 09:13:00,582.15,582.18,582.15,582.18,5.586
2024-03-22 09:14:00,582.41,582.41,582.41,582.41,0.026
2024-03-22 09:15:00,583.15,583.27,583.11,583.12,7.342
2024-03-22 09:16:00,583.9,583.9,583.9,583.9,0.063
2024-03-22 09:17:00,584.61,584.61,584.61,584.61,0.028
2024-03-22 09:18:00,584.61,584.61,584.61,584.61,0.0
2024-03-22 09:19:00,585.16,585.16,585.16,585.16,0.031
2024-03-22 09:20:00,584.54,584.57,584.51,584.52,29.468
2024-03-22 09:21:00,584.51,584.51,584.51,584.51,0.074
2024-03-22 09:22:00,584.61,584.61,583.92,583.92,0.16
2024-03-22 09:23:00,583.33,583.47,583.33,583.47,1.523
2024-03-22 09:24:00,584.47,584.47,584.47,584.47,0.027
2024-03-22 09:25:00,584.04,584.04,584.02,584.02,7.244
2024-03-22 09:26:00,584.71,584.72,584.61,584.64,0.196
2024-03-22 09:27:00,585.71,586.28,585.71,586.28,10.675
2024-03-22 09:28:00,587.16,587.41,587.0,587.41,44.718
2024-03-22 09:29:00,587.22,587.22,587.22,587.22,0.032
2024-03-22 09:30:00,586.89,587.02,586.55,586.82,18.911
2024-03-22 09:31:00,586.92,586.92,586.91,586.91,14.633
2024-03-22 09:32:00,587.49,587.49,587.49,587.49,0.027
2024-03-22 09:33:00,586.11,586.11,585.26,585.26,5.228
2024-03-22 09:34:00,584.69,584.69,584.2,584.3,41.982
2024-03-22 09:35:00,584.68,584.71,584.64,584.65,21.344
2024-03-22 09:36:00,584.39,584.39,584.39,584.39,0.032
2024-03-22 09:37:00,584.63,584.63,584.37,584.37,5.385
2024-03-22 09:38:00,584.54,584.54,584.54,584.54,1.465
2024-03-22 09:39:00,584.49,585.1,584.49,585.1,25.905
